id,loc1,loc2,lat,lon,h,code
47401,稚内,宗谷地方,45.415,141.67833333333334,2.8,11016
47402,北見枝幸,宗谷地方,44.94,142.585,6.7,11291
47404,羽幌,留萌地方,44.36333333333334,141.7,7.9,13181
47405,雄武,網走・北見・紋別地方,44.58,142.96333333333334,14.1,17036
47406,留萌,留萌地方,43.945,141.63166666666666,23.6,13277
47407,旭川,上川地方,43.75666666666667,142.37166666666667,119.8,12442
47409,網走,網走・北見・紋別地方,44.016666666666666,144.27833333333334,37.6,17341
47411,小樽,後志地方,43.181666666666665,141.015,24.9,16091
47412,札幌,石狩地方,43.06,141.32833333333335,17.4,14163
47413,岩見沢,空知地方,43.211666666666666,141.785,42.3,15356
47417,帯広,十勝地方,42.92166666666667,143.21166666666667,38.4,20432
47418,釧路,釧路地方,42.985,144.3766666666667,4.5,19432
47420,根室,根室地方,43.33,145.585,25.2,18273
47421,寿都,後志地方,42.795,140.22333333333333,33.4,16252
47423,室蘭,胆振地方,42.31166666666667,140.975,39.9,21323
47424,苫小牧,胆振地方,42.623333333333335,141.54666666666665,6.3,21187
47426,浦河,日高地方,42.16166666666667,142.77666666666667,36.7,22327
47428,江差,檜山地方,41.86666666666667,140.1233333333333,3.7,24217
47430,函館,渡島地方,41.81666666666667,140.75333333333333,35.0,23232
47433,倶知安,後志地方,42.9,140.75666666666666,176.1,16217
47435,紋別,網走・北見・紋別地方,44.345,143.355,15.8,17112
47440,広尾,十勝地方,42.29333333333334,143.31666666666666,32.4,20751
47512,大船渡,岩手県,39.06333333333333,141.71333333333334,36.9,33877
47520,新庄,山形県,38.75666666666667,140.31166666666667,105.1,35162
47570,若松,福島県,37.48833333333334,139.91,211.7,36361
47574,深浦,青森県,40.645,139.93166666666667,66.1,31436
47575,青森,青森県,40.821666666666665,140.76833333333337,2.8,31312
47576,むつ,青森県,41.28333333333333,141.21,2.9,31111
47581,八戸,青森県,40.52666666666666,141.52166666666668,27.1,31602
47582,秋田,秋田県,39.71666666666667,140.09833333333333,6.3,32402
47584,盛岡,岩手県,39.69833333333333,141.165,155.2,33431
47585,宮古,岩手県,39.64666666666667,141.965,42.5,33472
47587,酒田,山形県,38.90833333333333,139.84333333333333,3.1,35052
47588,山形,山形県,38.255,140.345,152.5,35426
47590,仙台,宮城県,38.26166666666666,140.89666666666668,38.9,34392
47592,石巻,宮城県,38.42666666666667,141.29833333333335,42.5,34292
47595,福島,福島県,37.75833333333333,140.47,67.4,36126
47597,白河,福島県,37.13166666666667,140.215,355.0,36667
47598,小名浜,福島県,36.946666666666665,140.90333333333334,3.3,36846
47600,輪島,石川県,37.39,136.895,5.2,56052
47602,相川,新潟県,38.028333333333336,138.24,5.5,54157
47604,新潟,新潟県,37.89333333333333,139.01833333333337,4.1,54232
47605,金沢,石川県,36.58833333333333,136.63333333333333,5.7,56227
47606,伏木,富山県,36.79166666666666,137.055,11.6,55091
47607,富山,富山県,36.708333333333336,137.20166666666665,8.6,55102
47610,長野,長野県,36.66166666666667,138.19166666666666,418.2,48156
